x,y
0.806,-0.859
1.1199166666666667,-1.0365416666666667
1.4338333333333333,-1.2140833333333334
1.7477500000000001,-1.391625
2.0616666666666665,-1.5691666666666668
2.375583333333333,-1.7467083333333333
2.6895000000000002,-1.92425
3.003416666666667,-2.1017916666666667
3.3173333333333335,-2.2793333333333337
3.63125,-2.456875
3.9451666666666667,-2.6344166666666666
4.259083333333333,-2.8119583333333336
4.573,-2.9895
4.886916666666667,-3.167041666666667
5.200833333333334,-3.3445833333333335
5.51475,-3.5221250000000004
5.828666666666667,-3.699666666666667
6.1425833333333335,-3.8772083333333334
6.4565,-4.05475
6.770416666666667,-4.232291666666667
7.084333333333333,-4.409833333333333
7.39825,-4.587375
7.712166666666667,-4.764916666666667
8.026083333333332,-4.942458333333334
8.34,-5.12
8.34,-5.12
8.924166666666666,-4.337916666666667
9.508333333333333,-3.555833333333333
10.0925,-2.77375
10.676666666666666,-1.9916666666666667
11.260833333333332,-1.2095833333333332
11.844999999999999,-0.4275000000000002
12.429166666666667,0.35458333333333325
13.013333333333332,1.1366666666666667
13.5975,1.9187500000000002
14.181666666666665,2.7008333333333336
14.765833333333333,3.482916666666667
15.35,4.265
15.934166666666666,5.047083333333334
16.51833333333333,5.829166666666667
17.1025,6.611250000000001
17.686666666666667,7.3933333333333335
18.270833333333332,8.175416666666667
18.854999999999997,8.9575
19.439166666666665,9.739583333333332
20.023333333333333,10.521666666666668
20.607499999999998,11.30375
21.191666666666663,12.085833333333333
21.77583333333333,12.867916666666666
22.36,13.65
22.36,13.65
22.0425,13.876666666666667
21.724999999999998,14.103333333333333
21.4075,14.33
21.09,14.556666666666667
20.7725,14.783333333333333
20.455,15.01
20.1375,15.236666666666666
19.82,15.463333333333333
19.5025,15.690000000000001
19.185,15.916666666666668
18.8675,16.143333333333334
18.55,16.37
18.2325,16.596666666666668
17.915,16.823333333333334
17.5975,17.05
17.28,17.276666666666667
16.9625,17.503333333333334
16.645,17.73
16.3275,17.956666666666667
16.01,18.183333333333334
15.6925,18.41
15.375,18.636666666666667
15.057500000000001,18.863333333333333
14.74,19.09
14.74,19.09
14.159416666666667,18.258791666666667
13.578833333333334,17.427583333333335
12.99825,16.596375000000002
12.417666666666667,15.765166666666667
11.837083333333334,14.933958333333333
11.256499999999999,14.10275
10.675916666666666,13.271541666666668
10.095333333333333,12.440333333333335
9.51475,11.609125
8.934166666666666,10.777916666666668
8.353583333333333,9.946708333333335
7.773,9.1155
7.1924166666666665,8.284291666666668
6.611833333333333,7.4530833333333355
6.03125,6.621875000000001
5.450666666666667,5.790666666666668
4.8700833333333335,4.959458333333336
4.2895,4.128250000000001
3.708916666666667,3.2970416666666686
3.128333333333334,2.465833333333336
2.5477500000000006,1.6346250000000033
1.9671666666666674,0.8034166666666707
1.3865833333333342,-0.02779166666666555
